İsim,Fiyat,Yüzde,Zaman
TCELL,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
THYAO,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
TKFEN,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
TMSN,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
TOASO,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
TSKB,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
TTKOM,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
TTRAK,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
TUKAS,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
TUPRS,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
TURSG,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ULKER,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
VAKBN,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
VESBE,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
VESTL,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
YEOTK,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
YKBNK,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ZOREN,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
